travel_id,lodging_nm,lodging_payment_seq,lodging_type_cd,rsvt_yn,chk_in_dt_min,chk_out_dt_min,payment_num,brno,store_nm,road_nm_addr,lotno_addr,road_nm_cd,lotno_cd,payment_dt,payment_mthd_se,payment_amt_won,payment_etc
h_h000073,메종글래드제주,0,1,N,,,1,,,제주특별자치도 제주시 노연로 80,제주특별자치도 제주시 연동 263-15,,,,2,134100,
h_h000073,호텔시리우스,0,1,N,,,1,,,제주특별자치도 제주시 도령로 133,제주특별자치도 제주시 연동 2334-4,,,,2,70000,
h_h000073,휘슬락호텔,0,1,N,,,1,,,제주특별자치도 제주시 서부두2길 26,제주특별자치도 제주시 건입동 1443-2,,,,2,76635,
h_h000074,신성의숲,0,3,Y,,,1,,,제주특별자치도 제주시 애월읍 광령평화8길 47-7,제주특별자치도 제주시 애월읍 광령리 302,,,,4,110000,
h_h000074,안팟거리,0,3,Y,,,1,,,제주특별자치도 제주시 지석12길 1,제주특별자치도 제주시 삼양이동 2180-17,,,,4,480000,
h_h000074,제주해담꽃,0,3,Y,,,1,,,제주특별자치도 제주시 애월읍 금성5길 42,제주특별자치도 제주시 애월읍 금성리 483,,,,4,250000,
h_h000076,그랜드하얏트제주,1,1,Y,,,1,,그랜드 하얏트,제주특별자치도 제주시 노연로 12,제주특별자치도 제주시 노형동 925,3349041,5011012200,2023-05-06 00:00:00,1,338800,숙박비
h_h000076,제주신라호텔,1,1,Y,,,1,,제주 신라 호텔,제주특별자치도 서귀포시 중문관광로72번길 75,제주특별자치도 서귀포시 색달동 3039-3,4850763,5013011900,2023-05-06 00:00:00,1,323400,숙박비
h_h000080,수피아제주,1,3,Y,,,1,,수피아제주,제주특별자치도 제주시 구좌읍 김녕로1길 59,제주특별자치도 제주시 구좌읍 김녕리 1319,4847346,5011025634,2023-03-07 21:36:00,1,220000,니스(바깥채)
h_h000080,제주신라호텔,1,1,Y,,,1,,THE SHILLA JEJU,제주특별자치도 서귀포시 중문관광로72번길 75,제주특별자치도 서귀포시 색달동 3039-3,4850763,5013011900,2023-05-21 10:09:00,1,378800,
h_h000085,제주웨스턴그레이스 강정점,1,1,Y,,,1,,아고다페이먼츠코리아,서울 마포구 마포대로 217,서울 마포구 아현동 686,2113001,1144010100,2023-05-22 00:31:00,1,54690,
h_h000085,헤이 서귀포,1,1,Y,,,1,,아고다페이먼츠코리아,서울 마포구 마포대로 217,서울 마포구 아현동 686,2113001,1144010100,2023-05-18 23:26:00,1,67635,
h_h000086,갈매기둥지,0,7,Y,,,1,,,제주특별자치도 제주시 조천읍 조함해안로 514,제주특별자치도 제주시 조천읍 함덕리 1004-17,,,,1,144000,
h_h000086,게스트하우스7,0,7,Y,,,1,,,제주특별자치도 제주시 용문로 168,제주특별자치도 제주시 용담2동 2678-2,,,,1,45000,
h_h000086,아루미호텔 협재점,0,1,Y,,,1,,,제주특별자치도 제주시 한림읍 한림로 545,제주특별자치도 제주시 한림읍 옹포리 393,,,,1,135000,
h_h000087,에코그린리조트,0,4,Y,,,3,,,제주특별자치도 제주시 한림읍 귀덕6길 94,제주특별자치도 제주시 한림읍 귀덕리 1502,,,,1,505500,
h_h000091,제주무이,0,3,Y,,,2,,,제주특별자치도 제주시 애월읍 엄수로 148,제주특별자치도 제주시 애월읍 수산리 965-1,,,,1,440000,
h_h000092,플레이스캠프제주,0,4,Y,,,1,,,제주특별자치도 서귀포시 성산읍 동류암로 20,제주특별자치도 서귀포시 성산읍 고성리 297-1,,,,1,43030,
h_h000092,하도야비어 하도야베드 민박,0,7,Y,,,1,,,제주특별자치도 제주시 구좌읍 세종로 285,제주특별자치도 제주시 구좌읍 하도리 1026-4,,,,1,30000,
h_h000092,함덕촌따이민박,0,7,Y,,,1,,,제주특별자치도 제주시 조천읍 함덕30길 20-13,제주특별자치도 제주시 조천읍 함덕리 4160-1,,,,1,28000,
h_h000093,제주웨스턴그레이스 강정점,1,1,Y,,,3,,아고다,,,,,2023-03-31 00:00:00,1,29815,JEJU WESTERN GRACE HOTEL
h_h000093,휘닉스제주,0,4,Y,,,3,,,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 127-2,,,,4,0,
h_h000094,바랑쉬게스트하우스,0,7,Y,,,1,,,제주특별자치도 서귀포시 성산읍 환해장성로 496,제주특별자치도 서귀포시 성산읍 온평리 1111-2,,,,4,150000,
h_h000094,제주도게스트하우스파티스테이블,0,7,Y,,,1,,,제주특별자치도 서귀포시 안덕면 사계북로 109,제주특별자치도 서귀포시 안덕면 사계리 1586,,,,4,140000,
h_h000095,세오니네민박,0,8,Y,,,1,,,제주특별자치도 서귀포시 성산읍 난고로34번길 145,제주특별자치도 서귀포시 성산읍 고성리 1623-1,,,,5,120000,
